title,genres
The Shawshank Redemption,Drama
The Godfather,"Crime,Drama"
The Dark Knight,"Action,Crime,Drama"
Pulp Fiction,"Crime,Drama"
Fight Club,"Drama,Thriller"
Forrest Gump,"Drama,Romance"
Inception,"Action,Adventure,Sci-Fi"
The Matrix,"Action,Sci-Fi"
Goodfellas,"Biography,Crime,Drama"
The Silence of the Lambs,"Crime,Drama,Thriller"
Interstellar,"Adventure,Drama,Sci-Fi"
The Lion King,"Animation,Adventure,Drama"
Titanic,"Drama,Romance"
Jurassic Park,"Adventure,Sci-Fi,Thriller"
Avatar,"Action,Adventure,Fantasy"
The Avengers,"Action,Adventure,Sci-Fi"
Star Wars,"Action,Adventure,Fantasy"
Toy Story,"Animation,Adventure,Comedy"
The Social Network,"Biography,Drama"
Parasite,"Comedy,Drama,Thriller" 
The Departed,"Crime,Drama,Thriller"
The Usual Suspects,"Crime,Drama,Thriller"
The Prestige,"Drama,Mystery,Sci-Fi"
The Intouchables,"Biography,Comedy,Drama"
Choori,"Crime,Drama,Fantasy"
Chori2,"Drama, Thriller"
kantaara,"Thriller, Drama"
dil wale dulhaniya le jayenge ,"Comedy, Romance, Drama"
Bazigaar,"Drama,Action"
Badsaah,"Drama, Action"
sultan,"Action, Drama"
Kabir Singh,"Drama, Romance, Action"
coolie,"Drama, Romance, Comedy"
coolie no 1,"Comedy, Romance, Drama"
Kabhi Khushi Kabhie Gham,"Drama, Romance"
Kabir Singh,"Drama, Romance, Action"



